Customer_ID,Monetary_Score,Behaviour_Score,Credit_Avail_Score,Score_weighted_50_35_15,Score_weighted_40_40_20,Score_weighted_40_35_25
CUS_0x1100,25.0,35.875,26.0,144.78125,147.75,145.28125
CUS_0x1107,26.875,25.125,26.0,130.65625,130.0,130.21875
CUS_0x1108,23.875,46.125,44.0,173.40625,184.0,183.46875
CUS_0x1109,21.0,42.625,29.0,148.84375,156.25,152.84375
CUS_0x1119,24.5,28.0,29.0,132.0,134.0,134.25
CUS_0x111b,21.125,43.5,41.0,159.6875,170.25000000000003,169.625
CUS_0x111c,24.0,34.875,30.0,143.53125,147.75,146.53125
CUS_0x1123,27.75,39.125,22.0,154.34375,155.75,151.46875
CUS_0x112d,25.75,37.0,29.0,150.875,154.5,152.5
CUS_0x112e,26.0,56.5,42.0,195.375,207.0,203.375
CUS_0x112f,23.75,49.75,44.0,179.4375,191.0,189.5625
CUS_0x1130,25.125,41.125,37.0,162.53125,169.5,168.46875
CUS_0x1132,21.25,36.5,34.0,142.5,149.5,148.875
CUS_0x1134,22.625,61.875,44.0,197.84375,213.0,208.53125
CUS_0x1135,24.0,50.5,45.0,182.125,194.00000000000003,192.625
CUS_0x1136,21.625,45.25,27.0,153.5,160.75,156.1875
CUS_0x1138,38.125,46.125,34.0,201.53125,202.5,199.46875
CUS_0x1139,24.125,31.125,32.0,138.78125,142.5,142.71875
CUS_0x113e,21.375,35.0,26.0,134.1875,138.75,136.5
CUS_0x1140,22.375,37.25,15.0,132.375,134.25,128.6875
CUS_0x1144,24.25,34.5,34.0,146.5,151.5,151.375
CUS_0x1145,26.5,31.625,23.0,138.84375,139.25,137.09375
CUS_0x114a,27.75,55.875,44.0,200.15625,211.25,208.28125
CUS_0x114b,23.625,46.25,40.0,170.0,179.75,178.1875
CUS_0x1151,25.125,38.0,18.0,142.8125,144.25,139.25
CUS_0x1152,25.5,51.875,48.0,190.53125,202.75,201.78125
CUS_0x1154,28.5,36.625,21.0,151.09375,151.25,147.34375
CUS_0x1155,23.375,58.5,38.0,189.3125,201.75,196.625
CUS_0x1156,28.5,39.375,29.0,161.90625,164.75,162.15625
CUS_0x115c,23.375,36.0,23.0,138.6875,141.75,138.5
CUS_0x1168,23.375,58.0,43.0,192.1875,205.75,202.0
CUS_0x1169,25.375,51.125,45.0,186.65625,198.0,196.46875
CUS_0x117d,24.0,54.25,45.0,188.6875,201.50000000000003,199.1875
CUS_0x117f,23.625,52.625,39.0,180.40625,191.5,188.09375
CUS_0x1182,23.625,52.75,42.0,182.875,194.75,192.0625
CUS_0x1183,24.375,56.125,44.0,192.15625,205.0,201.96875
CUS_0x1184,27.0,59.0,43.0,203.0,215.0,211.0
CUS_0x1185,25.0,38.375,27.0,149.90625,153.75,150.90625
CUS_0x1190,21.0,49.0,46.0,172.75,186.0,185.25
CUS_0x1192,26.875,52.375,41.0,189.59375,199.5,196.65625
CUS_0x1193,21.875,52.625,38.0,175.28125,187.0,183.34375
CUS_0x1195,25.5,44.0,38.0,169.25,177.0,175.5
CUS_0x1197,23.875,41.125,35.0,157.90625,165.0,163.46875
CUS_0x119e,23.875,44.5,31.0,160.8125,167.75,164.375
CUS_0x11a4,21.75,34.5,31.0,138.0,143.5,142.625
CUS_0x11ac,21.625,31.625,38.0,137.90625,144.5,146.09375
CUS_0x11ae,23.625,40.625,21.0,145.90625,149.5,144.59375
CUS_0x11b1,25.375,41.375,40.0,165.84375,173.5,173.15625
CUS_0x11b7,24.125,55.625,35.0,183.90625,194.5,189.34375
CUS_0x11c0,23.375,56.75,47.0,193.0,207.25,204.8125
CUS_0x11c1,25.375,43.625,39.0,169.03125,177.0,175.84375
CUS_0x11c6,22.5,55.25,45.0,186.6875,200.5,197.9375
CUS_0x11c7,24.875,49.0,47.0,183.1875,194.75,194.25
CUS_0x11d1,23.875,42.0,46.0,167.6875,177.75,178.75
CUS_0x11d9,24.625,45.5,48.0,177.1875,188.25,188.875
CUS_0x11e2,25.0,57.625,44.0,196.34375,209.25,205.84375
CUS_0x11eb,24.5,57.125,48.0,197.21875,211.25,208.96875
CUS_0x11ec,27.625,36.75,28.0,154.375,156.75,154.5625
CUS_0x11fc,25.125,49.875,47.0,185.34375,197.0,196.28125
CUS_0x1204,26.5,43.125,27.0,161.96875,166.25,162.21875
CUS_0x1207,26.25,37.25,27.0,151.0625,154.0,151.4375
CUS_0x120c,25.125,34.875,27.0,144.09375,147.0,145.03125
CUS_0x120d,28.375,56.125,44.0,202.15625,213.00000000000003,209.96875
CUS_0x1216,27.0,38.125,25.0,152.96875,155.25,151.96875
CUS_0x121b,21.625,53.75,43.0,180.375,193.75,191.0625
CUS_0x1220,33.375,60.125,43.0,220.90625,230.0,225.71875
CUS_0x1226,22.125,45.375,38.0,163.21875,173.0,171.15625
CUS_0x122c,24.375,52.5,42.0,184.3125,195.75,193.125
CUS_0x122f,26.375,38.875,32.0,157.96875,162.5,160.78125
CUS_0x1231,25.25,39.0,34.0,156.875,162.5,161.25
CUS_0x1232,25.875,37.75,22.0,147.25,149.25,145.3125
CUS_0x1233,24.375,56.125,40.0,189.15625,201.0,196.96875
CUS_0x1234,24.125,36.125,34.0,149.03125,154.5,153.96875
CUS_0x1236,25.875,54.875,45.0,194.46875,206.50000000000003,204.03125
CUS_0x123a,21.75,42.625,27.0,149.21875,155.75,151.84375
CUS_0x123d,28.0,36.375,21.0,149.40625,149.75,145.90625
CUS_0x1246,26.0,45.0,46.0,178.25,188.0,188.25
CUS_0x1249,30.0,35.375,26.0,156.40625,156.75,154.40625
CUS_0x124a,22.625,57.625,45.0,191.15625,205.5,202.34375
CUS_0x1250,24.0,32.75,18.0,130.8125,131.5,127.8125
CUS_0x1252,25.0,53.75,45.0,190.3125,202.5,200.3125
CUS_0x1255,21.875,55.625,47.0,187.28125,202.0,199.84375
CUS_0x1258,21.5,33.875,33.0,137.78125,143.75,143.53125
CUS_0x125c,25.625,36.625,32.0,152.15625,156.5,155.34375
CUS_0x1269,24.875,56.125,37.0,188.15625,199.00000000000003,194.21875
CUS_0x126d,24.375,37.125,32.0,149.90625,155.0,153.71875
CUS_0x1271,20.875,43.875,33.0,153.71875,162.5,159.78125
CUS_0x1274,24.25,38.875,33.0,153.40625,159.25,157.78125
CUS_0x1277,23.5,41.125,36.0,157.71875,165.25,163.96875
CUS_0x1278,23.0,28.625,33.0,132.34375,136.25,137.34375
CUS_0x127d,28.25,43.25,30.0,168.8125,173.0,169.6875
CUS_0x1281,34.75,40.375,35.0,183.78125,185.25,183.90625
CUS_0x1285,23.125,37.75,37.0,151.625,158.75,158.5625
CUS_0x1286,21.875,53.0,40.0,177.4375,189.75,186.5
CUS_0x1288,20.5,33.375,21.0,125.40625,128.75,125.65625
CUS_0x128e,26.0,42.375,35.0,165.40625,171.75,169.90625
CUS_0x128f,24.25,35.875,18.0,136.90625,138.25,133.78125
CUS_0x1290,30.375,50.25,43.0,196.125,204.25,202.4375
CUS_0x1297,23.25,29.25,19.0,123.5625,124.0,121.4375
CUS_0x1298,23.625,43.25,38.0,163.25,171.75,170.4375
CUS_0x129b,23.375,35.75,33.0,145.75,151.25,150.5625
CUS_0x12a4,20.875,38.5,29.0,141.3125,147.75,145.375
CUS_0x12a6,26.75,40.25,20.0,152.3125,154.0,148.9375
CUS_0x12a7,25.75,55.0,36.0,187.625,197.5,192.75
CUS_0x12a8,20.75,37.5,36.0,144.5,152.5,152.125
CUS_0x12a9,24.25,52.5,49.0,189.25,202.5,201.625
CUS_0x12af,21.625,39.5,33.0,147.9375,155.25,153.625
CUS_0x12b6,20.875,31.625,22.0,124.03125,127.0,124.59375
CUS_0x12b8,26.125,35.0,20.0,141.5625,142.25,138.5
CUS_0x12be,28.875,57.875,45.0,207.21875,218.5,215.28125
CUS_0x12bf,25.875,45.375,42.0,175.59375,184.50000000000003,183.65625
CUS_0x12c1,23.5,59.5,44.0,195.875,210.0,206.125
CUS_0x12cb,24.25,40.125,31.0,154.09375,159.75,157.46875
CUS_0x12cc,22.375,41.375,31.0,151.59375,158.5,155.90625
CUS_0x12ce,29.875,30.25,22.0,144.125,142.25,140.1875
CUS_0x12d1,22.5,43.5,35.0,158.625,167.0,164.875
CUS_0x12d5,23.875,38.125,20.0,141.40625,144.0,139.46875
CUS_0x12dd,21.5,58.0,43.0,187.5,202.0,198.25
CUS_0x12e7,24.25,35.625,29.0,144.71875,148.75,147.09375
CUS_0x12ea,21.25,31.625,22.0,124.96875,127.75,125.34375
CUS_0x12ec,24.375,40.875,31.0,155.71875,161.5,159.03125
CUS_0x12ef,24.5,42.625,39.0,165.09375,173.25,172.34375
CUS_0x12f2,23.5,36.25,28.0,143.1875,147.5,145.4375
CUS_0x12fa,24.125,31.375,36.0,142.21875,147.0,148.15625
CUS_0x12fb,22.125,41.5,36.0,154.9375,163.25,161.875
CUS_0x12fc,23.875,57.875,45.0,194.71875,208.5,205.28125
CUS_0x1309,26.125,40.125,43.0,167.78125,175.5,176.21875
CUS_0x130b,24.125,54.875,33.0,181.09375,191.0,185.53125
CUS_0x130c,27.5,38.5,29.0,157.875,161.0,158.625
CUS_0x1319,23.375,45.125,45.0,171.15625,182.0,181.96875
CUS_0x131f,24.0,28.25,20.0,124.4375,124.5,122.4375
CUS_0x1324,26.75,38.625,30.0,156.96875,160.75,158.59375
CUS_0x1325,24.875,34.125,27.0,142.15625,145.0,143.21875
CUS_0x1326,27.5,35.0,24.0,148.0,149.0,146.25
CUS_0x1329,37.875,44.0,48.0,207.6875,211.75,212.75
CUS_0x132f,22.5,40.375,38.0,155.40625,163.75,163.15625
CUS_0x1330,25.875,56.5,46.0,198.0625,210.75,208.125
CUS_0x1338,24.0,36.625,16.0,136.09375,137.25,132.09375
CUS_0x133b,25.25,57.0,38.0,191.375,202.5,197.75
CUS_0x133d,23.5,49.625,38.0,174.09375,184.25,181.34375
CUS_0x133e,28.75,46.5,37.0,181.0,187.5,185.125
CUS_0x133f,21.0,37.625,33.0,143.09375,150.25,149.09375
CUS_0x1340,24.75,57.5,45.0,196.25,209.5,206.375
CUS_0x1341,29.75,53.875,40.0,198.65625,207.25,203.78125
CUS_0x1343,23.625,55.5,45.0,189.9375,203.25000000000003,200.625
CUS_0x1348,25.5,38.25,31.0,153.9375,158.5,156.6875
CUS_0x134d,23.875,48.375,32.0,168.34375,176.5,172.40625
CUS_0x1354,24.5,28.75,34.0,137.0625,140.5,141.8125
CUS_0x1355,28.375,28.25,22.0,136.875,135.25,133.6875
CUS_0x1358,24.375,33.875,24.0,138.21875,140.5,138.03125
CUS_0x135c,23.5,40.625,36.0,156.84375,164.25,163.09375
CUS_0x1367,23.875,53.375,44.0,186.09375,198.5,196.15625
CUS_0x136b,23.5,30.875,34.0,138.28125,142.75,143.53125
CUS_0x136c,31.0,51.5,44.0,200.625,209.0,207.125
CUS_0x1370,21.5,33.875,24.0,131.03125,134.75,132.28125
CUS_0x1375,23.75,35.375,30.0,143.78125,148.25,146.90625
CUS_0x1378,25.25,44.75,30.0,163.9375,170.00000000000003,166.3125
CUS_0x137d,24.25,58.75,46.0,197.9375,212.0,208.8125
CUS_0x1382,24.25,49.875,39.0,177.15625,187.25000000000003,184.53125
CUS_0x1383,23.875,34.625,36.0,147.28125,153.0,153.34375
CUS_0x138b,24.25,38.75,26.0,147.9375,152.0,148.8125
CUS_0x138d,21.125,55.375,41.0,180.46875,194.00000000000003,190.40625
CUS_0x138e,20.875,54.875,49.0,184.96875,200.5,199.03125
CUS_0x138f,24.875,35.125,27.0,143.90625,147.0,144.96875
CUS_0x139b,25.875,60.75,44.0,204.0,217.25,213.0625
CUS_0x13a8,24.375,45.625,45.0,174.53125,185.0,184.84375
CUS_0x13a9,24.5,55.5,44.0,191.375,204.0,201.125
CUS_0x13b0,23.875,38.375,35.0,153.09375,159.5,158.65625
CUS_0x13b2,27.25,56.75,40.0,197.4375,208.0,203.8125
CUS_0x13b5,26.125,43.875,43.0,174.34375,183.0,182.78125
CUS_0x13b8,29.0,45.25,47.0,186.9375,195.5,195.9375
CUS_0x13bc,32.0,41.625,39.0,182.09375,186.25,185.59375
CUS_0x13c2,21.125,33.125,22.0,127.28125,130.5,127.71875
CUS_0x13c7,24.5,41.25,39.0,162.6875,170.5,169.9375
CUS_0x13ce,28.625,55.625,44.0,201.90625,212.5,209.59375
CUS_0x13d1,26.125,53.75,45.0,193.125,204.75,202.5625
CUS_0x13d5,23.625,53.125,42.0,183.53125,195.5,192.71875
CUS_0x13d6,23.375,55.75,45.0,189.75,203.25,200.5625
CUS_0x13db,21.625,44.625,34.0,157.65625,166.5,163.84375
CUS_0x13de,21.875,46.0,32.0,159.1875,167.75,164.25
CUS_0x13df,22.0,42.875,39.0,159.28125,168.75,167.78125
CUS_0x13e3,24.875,41.5,41.0,165.5625,173.75,173.625
CUS_0x13e4,24.0,41.875,20.0,148.28125,151.75,146.28125
CUS_0x13e7,24.25,40.375,27.0,151.53125,156.25000000000003,152.90625
CUS_0x13eb,26.625,36.0,26.0,149.0625,151.25,148.75
CUS_0x13ec,21.875,35.875,33.0,142.21875,148.5,147.78125
CUS_0x13ee,31.25,53.75,41.0,202.9375,211.0,207.8125
CUS_0x13ef,27.5,56.625,46.0,202.34375,214.25,211.59375
CUS_0x13f6,25.0,58.125,48.0,200.21875,214.25,211.71875
CUS_0x13f8,39.875,57.25,47.0,235.125,241.25,238.6875
CUS_0x13fa,21.5,35.5,23.0,133.125,137.0,133.875
CUS_0x13fb,26.0,30.75,39.0,148.0625,152.5,154.5625
CUS_0x140e,23.625,47.875,45.0,176.59375,188.00000000000003,187.28125
CUS_0x1410,24.0,58.875,43.0,195.28125,208.75,204.78125
CUS_0x1414,23.875,33.75,17.0,131.5,132.25,128.0625
CUS_0x1416,25.375,44.125,40.0,170.65625,179.0,177.96875
CUS_0x141c,26.5,45.75,36.0,173.3125,180.5,178.0625
CUS_0x141d,21.0,39.25,23.0,138.4375,143.5,139.4375
CUS_0x1422,23.875,44.375,29.0,159.09375,165.5,161.65625
CUS_0x1425,24.75,55.25,47.0,193.8125,207.0,204.9375
CUS_0x142f,26.625,58.25,45.0,202.25,214.75,211.4375
CUS_0x1430,26.125,53.625,45.0,192.90625,204.50000000000003,202.34375
CUS_0x1431,23.875,34.375,34.0,145.34375,150.5,150.40625
CUS_0x1436,23.625,50.625,48.0,183.65625,196.5,195.84375
CUS_0x1437,38.5,40.25,34.0,192.1875,191.5,189.9375
CUS_0x1439,21.0,43.25,32.0,152.1875,160.5,157.6875
CUS_0x143a,23.75,49.375,46.0,180.28125,192.25,191.40625
CUS_0x143c,27.625,58.75,44.0,204.875,216.75,213.0625
CUS_0x143d,22.625,46.25,33.0,162.25,170.75,167.4375
CUS_0x1440,30.125,35.875,20.0,153.09375,152.0,148.03125
CUS_0x1441,23.75,54.25,48.0,190.3125,204.0,202.4375
CUS_0x1443,23.75,55.0,38.0,184.125,195.5,191.25
CUS_0x1447,30.0,53.375,37.0,196.15625,203.75,199.65625
CUS_0x144c,26.25,56.25,47.0,199.3125,212.0,209.6875
CUS_0x144d,25.75,39.25,27.0,153.3125,157.0,153.9375
CUS_0x144f,20.875,32.125,23.0,125.65625,129.0,126.71875
CUS_0x1452,23.75,37.25,21.0,140.3125,143.0,138.9375
CUS_0x1453,29.625,52.0,40.0,195.0625,203.25,200.25
CUS_0x1458,25.375,45.25,35.0,168.875,176.25,173.6875
CUS_0x145a,24.375,43.625,46.0,171.78125,182.0,182.59375
CUS_0x145c,21.625,53.75,43.0,180.375,193.75,191.0625
CUS_0x1463,21.5,41.625,41.0,157.34375,167.25000000000003,167.09375
CUS_0x146a,26.25,51.875,39.0,185.65625,195.25,192.03125
CUS_0x1470,27.5,59.625,46.0,207.59375,220.25,216.84375
CUS_0x1471,25.125,50.0,35.0,176.5625,185.25,181.5
CUS_0x1472,22.25,50.5,35.0,170.25,180.5,176.625
CUS_0x147a,25.625,34.625,33.0,149.40625,153.5,153.09375
CUS_0x147c,25.125,56.75,46.0,196.625,209.75,207.0625
CUS_0x1488,26.125,35.375,16.0,139.21875,139.0,134.15625
CUS_0x148b,25.375,32.125,38.0,148.15625,153.0,154.46875
CUS_0x148e,24.875,45.5,32.0,165.8125,172.75,169.375
CUS_0x1492,22.25,44.125,31.0,156.09375,163.75,160.46875
CUS_0x1498,21.0,42.5,19.0,141.125,146.0,140.125
CUS_0x1499,23.625,50.625,35.0,173.90625,183.5,179.59375
CUS_0x149e,21.0,50.25,43.0,172.6875,185.5,183.6875
CUS_0x14a3,21.5,44.25,41.0,161.9375,172.5,171.6875
CUS_0x14b3,22.0,45.5,37.0,162.375,172.0,169.875
CUS_0x14b4,25.375,45.5,44.0,176.0625,185.75,185.375
CUS_0x14b9,21.875,44.0,35.0,157.9375,166.75,164.5
CUS_0x14ba,23.75,45.125,28.0,159.34375,165.75,161.46875
CUS_0x14c1,38.625,43.375,40.0,202.46875,204.0,203.15625
CUS_0x14c2,23.375,36.625,21.0,138.28125,141.0,137.09375
CUS_0x14ca,23.625,53.125,42.0,183.53125,195.5,192.71875
CUS_0x14ce,21.125,37.75,26.0,138.375,143.75,140.8125
CUS_0x14cf,26.875,44.25,45.0,178.375,187.25,187.4375
CUS_0x14d0,21.0,26.75,24.0,117.3125,119.5,118.8125
CUS_0x14d1,24.0,34.125,27.0,139.96875,143.25,141.46875
CUS_0x14d3,21.125,51.75,38.0,171.875,183.75000000000003,180.3125
CUS_0x14d5,24.5,44.5,43.0,171.375,181.0,180.625
CUS_0x14d8,21.625,49.75,41.0,171.875,183.75,181.5625
CUS_0x14d9,20.875,43.375,37.0,155.84375,165.5,163.90625
CUS_0x14de,21.0,34.0,19.0,126.25,129.0,125.25
CUS_0x14e5,27.75,27.625,22.0,134.21875,132.75,131.34375
CUS_0x14ea,24.125,56.125,45.0,192.28125,205.5,202.71875
CUS_0x14ec,25.5,49.0,43.0,181.75,192.0,190.5
CUS_0x14f1,24.75,27.625,27.0,130.46875,131.75,131.59375
CUS_0x14f4,30.625,41.625,39.0,178.65625,183.5,182.84375
CUS_0x14f5,23.375,26.25,27.0,124.625,126.25,126.4375
CUS_0x14f6,25.75,43.375,37.0,168.03125,175.25,173.65625
CUS_0x14ff,19.875,34.5,19.0,124.3125,127.75,123.875
CUS_0x150b,21.875,29.375,36.0,133.09375,138.5,140.15625
CUS_0x150c,24.25,51.625,45.0,184.71875,196.75000000000003,195.09375
CUS_0x150d,24.625,36.125,29.0,146.53125,150.5,148.71875
CUS_0x1510,24.625,37.125,25.0,145.28125,148.5,145.46875
CUS_0x151b,22.0,42.625,39.0,158.84375,168.25,167.34375
CUS_0x1521,22.5,47.5,47.0,174.625,187.0,186.875
CUS_0x1528,26.5,56.0,42.0,195.75,207.00000000000003,203.5
CUS_0x1534,22.0,41.75,42.0,159.5625,169.5,169.5625
CUS_0x1535,21.75,47.625,44.0,170.71875,182.75,181.84375
CUS_0x1537,23.75,37.0,27.0,144.375,148.5,146.0
CUS_0x153d,26.125,29.0,19.0,130.3125,129.25,126.75
CUS_0x1540,39.5,53.5,42.0,223.875,228.0,225.125
CUS_0x1542,21.0,59.375,46.0,190.90625,206.75,203.40625
CUS_0x1546,25.5,42.75,35.0,164.8125,171.5,169.5625
CUS_0x1550,24.0,37.5,36.0,152.625,159.0,158.625
CUS_0x1551,27.75,44.875,47.0,183.15625,192.25,192.78125
CUS_0x155b,26.625,47.125,25.0,167.78125,172.5,166.96875
CUS_0x1563,40.375,33.75,35.0,186.25,183.25,183.5625
CUS_0x1567,26.0,43.5,36.0,168.125,175.0,173.125
CUS_0x1572,24.125,34.875,27.0,141.59375,145.0,143.03125
CUS_0x1577,23.25,29.5,18.0,123.25,123.5,120.625
CUS_0x157a,21.375,31.5,37.0,136.3125,142.75,144.125
CUS_0x157d,28.0,53.5,39.0,192.875,202.00000000000003,198.375
CUS_0x1585,27.875,39.5,34.0,164.3125,168.75,167.375
CUS_0x1589,24.0,50.625,46.0,183.09375,195.25,194.09375
CUS_0x158e,25.0,44.875,34.0,166.53125,173.75,171.03125
CUS_0x1591,24.375,47.875,45.0,178.46875,189.5,188.78125
CUS_0x1595,21.875,46.75,36.0,163.5,173.25,170.5625
CUS_0x159b,21.375,38.375,28.0,141.59375,147.5,144.90625
CUS_0x159f,25.75,40.25,34.0,160.3125,166.0,164.4375
CUS_0x15a3,26.5,55.625,47.0,198.84375,211.25,209.09375
CUS_0x15a4,22.875,59.625,46.0,196.03125,211.0,207.59375
CUS_0x15a7,23.5,55.375,43.0,187.90625,200.75,197.65625
CUS_0x15a9,27.875,41.5,33.0,167.0625,171.75,169.625
CUS_0x15ad,24.125,48.375,45.0,178.71875,190.0,189.15625
CUS_0x15b4,25.375,53.875,45.0,191.46875,203.5,201.28125
CUS_0x15b7,24.125,33.5,24.0,136.9375,139.25,136.875
CUS_0x15b9,22.0,38.625,32.0,146.59375,153.25,151.59375
CUS_0x15c4,26.875,58.375,43.0,201.59375,213.5,209.65625
CUS_0x15c5,26.25,40.75,34.0,162.4375,168.0,166.3125
CUS_0x15cc,29.75,34.375,24.0,152.53125,152.25,149.65625
CUS_0x15d5,23.625,34.875,27.0,140.34375,144.0,142.03125
CUS_0x15d9,27.375,32.625,25.0,144.28125,145.0,143.09375
CUS_0x15da,23.5,35.125,31.0,143.46875,148.25,147.21875
CUS_0x15dd,28.0,45.25,35.0,175.4375,181.5,178.9375
CUS_0x15df,24.0,57.125,45.0,193.71875,207.25,204.21875
CUS_0x15e7,21.125,40.375,35.0,149.71875,158.00000000000003,156.65625
CUS_0x15ec,22.5,56.75,48.0,191.5625,206.5,204.3125
CUS_0x15f1,24.125,41.5,25.0,151.6875,156.25,152.125
CUS_0x15f2,21.0,39.0,22.0,137.25,142.0,137.75
CUS_0x15f4,21.625,34.875,35.0,141.34375,148.0,148.03125
CUS_0x15f7,23.5,37.25,30.0,146.4375,151.5,149.6875
CUS_0x15f8,21.625,51.5,44.0,177.1875,190.25,188.375
CUS_0x1600,25.375,50.875,48.0,188.46875,200.5,199.78125
CUS_0x1604,28.0,48.75,43.0,187.5625,196.5,195.0625
CUS_0x1607,23.875,38.875,36.0,154.71875,161.5,160.78125
CUS_0x160a,21.0,35.75,18.0,128.5625,131.5,127.0625
CUS_0x1612,24.0,51.875,35.0,177.03125,186.75,182.53125
CUS_0x1613,21.75,46.75,43.0,168.4375,180.0,179.0625
CUS_0x1616,25.0,35.125,30.0,146.46875,150.25,148.96875
CUS_0x1619,22.375,50.75,45.0,178.5,191.25,189.8125
CUS_0x161b,24.5,40.875,29.0,154.53125,159.75,156.78125
CUS_0x1621,27.125,42.25,34.0,167.25,172.75000000000003,170.6875
CUS_0x1628,26.5,39.75,33.0,160.5625,165.5,163.8125
CUS_0x162f,29.0,51.875,44.0,196.28125,205.75,203.78125
CUS_0x1630,20.875,39.875,34.0,147.46875,155.5,154.03125
CUS_0x1631,24.25,34.625,38.0,149.71875,155.75,156.59375
CUS_0x1638,20.875,28.625,22.0,118.78125,121.0,119.34375
CUS_0x163c,21.5,54.5,46.0,183.625,198.0,195.875
CUS_0x1640,25.625,31.625,33.0,144.15625,147.5,147.84375
CUS_0x1647,25.5,53.375,43.0,189.40625,200.75,198.15625
CUS_0x164a,23.875,58.5,45.0,195.8125,209.75,206.375
CUS_0x164f,30.0,40.5,28.0,166.875,169.0,165.875
CUS_0x165a,24.375,43.125,42.0,167.90625,177.0,176.71875
CUS_0x165b,39.875,29.875,32.0,175.96875,171.5,172.03125
CUS_0x165e,24.0,41.25,29.0,153.9375,159.5,156.4375
CUS_0x165f,22.0,41.875,39.0,157.53125,166.75,166.03125
CUS_0x1661,21.625,36.5,30.0,140.4375,146.25,144.625
